pmid,tsne1,tsne2
2357786,-0.73098963,-1.7633101
7512659,16.848833,16.475723
7523707,16.847002,16.495565
7525995,16.77843,16.401243
7692657,16.788866,16.37922
8678767,7.3897324,16.041033
9306419,-8.563645,9.159119
10079468,-3.0467603,-44.34779
10581602,17.020643,-51.939877
11719088,11.636618,44.11284
11719506,-19.627598,45.678772
11719516,-23.210848,49.938946
11724793,-25.960936,13.039985
11730853,-27.8589,5.3942113
11731795,-7.720652,6.4429536
11743638,-19.92468,49.54939
11748973,44.2937,-4.775633
11748979,32.800514,-13.223257
11748986,40.719833,17.70769
11750879,-31.937975,38.0883
11751539,-55.876354,19.83837
11751905,-25.975843,26.488308
11755462,-11.300501,4.8910365
11755464,-0.74774075,14.899169
11756154,-29.628824,-3.516275
11756183,-6.646747,7.402207
11756188,-49.876457,21.891516
11756194,-37.281097,40.64814
11772429,-32.579372,30.794832
11773149,29.516315,7.234952
11773160,-44.19444,-8.990845
11773161,-34.29265,-1.5806384
11773163,-35.049034,9.395649
11773164,-10.701272,31.7201
11773169,-34.11842,-7.5007515
11773175,-28.335718,-46.387566
11773181,4.4484825,-7.486419
11773183,-40.76891,-21.834816
11774239,-33.42747,54.406578
11774255,-30.534052,23.804295
11777618,14.787324,24.568485
11777635,16.937649,1.5605948
11777994,-30.694847,6.1085553
11778605,-8.1689625,-54.73227
11781252,-48.870754,23.81574
11781282,-0.5611966,-10.24291
11782078,-6.7303324,-5.5484138
11782367,-19.005705,43.015865
11782370,16.293493,44.215878
11782380,-31.352262,6.502472
11782395,30.142832,-49.40689
11782772,19.82119,-1.4384555
11785838,-34.948067,-47.99376
11786079,2.2972698,-44.33179
11786394,-30.71579,14.621292
11786562,-44.618668,-36.15573
11786567,-14.520167,-51.147953
11786581,52.597725,-24.994415
11786582,46.610725,8.794819
11786589,-47.954727,-29.206738
11786778,22.975815,39.429882
11790454,-53.74811,-14.706604
11790564,-46.0275,9.9137945
11790976,-8.481476,-40.958855
11792833,28.337824,42.425117
11792912,18.228819,12.799632
11793437,-10.489129,4.937788
11796304,1.081733,-54.063164
