pmid,tsne1,tsne2
2357786,-23.378345,10.725576
7512659,42.926598,-22.608152
7523707,39.168842,-23.3661
7525995,42.171696,-22.072617
7692657,42.78335,-22.253939
8678767,1.7560709,11.217098
9306419,-48.28635,21.794529
10079468,-47.480087,21.884933
10581602,9.3844185,-0.022255136
11719088,4.1569,-49.963013
11719506,-28.676613,-37.752365
11719516,-30.025589,-36.351357
11724793,-37.603695,-36.745533
11730853,-32.3049,1.1559578
11731795,-45.48233,10.181973
11743638,-35.35707,-35.51758
11748973,35.58379,11.058105
11748979,15.399867,22.237574
11748986,22.513933,-18.827974
11750879,-14.373991,-20.666834
11751539,-34.781006,20.586384
11751905,-45.243126,-28.292921
11755462,-19.328354,-12.14095
11755464,-46.4052,-24.296787
11756154,-22.35498,31.205675
11756183,-39.031544,7.9351983
11756188,-42.681873,-0.3420568
11756194,-7.646471,-46.874947
11772429,-42.17501,-35.72309
11773149,33.527187,-8.878474
11773160,-15.266476,3.8024552
11773161,-11.627885,29.045444
11773163,-33.061142,-7.130142
11773164,-17.977028,28.961084
11773169,3.2308073,19.341019
11773175,-30.079136,24.593023
11773181,-9.378339,27.40821
11773183,-3.734065,34.107315
11774239,-17.310503,-42.656044
11774255,-30.57415,-12.342298
11777618,3.1231985,-6.229002
11777635,22.427006,2.8277314
11777994,-30.211618,-0.95408577
11778605,-33.563137,21.599623
11781252,-44.38639,-2.068314
11781282,-27.61282,16.350315
11782078,-36.20039,10.590731
11782367,-46.308197,-20.899467
11782370,8.103779,-21.553429
11782380,-30.717352,0.16553922
11782395,-13.21437,-39.024326
11782772,27.029959,4.6281166
11785838,-22.401398,24.880943
11786079,-31.428724,12.059131
11786394,-13.958672,2.6079576
11786562,6.069153,46.48882
11786567,-40.786148,36.52438
11786581,14.056504,-44.99192
11786582,12.868808,-9.288258
11786589,-2.3746285,46.84091
11786778,11.776313,-38.882446
11790454,-29.697268,-17.570301
11790564,-15.315529,-7.3408
11790976,-47.909264,23.489594
11792833,10.8313265,-50.331432
11792912,39.482784,-18.261267
11793437,-25.289427,18.120735
11796304,2.5577657,20.752348
11799530,-44.462944,35.944492
11800340,10.869584,-0.50578874
11801310,-52.77574,5.3516364
11801543,-14.612837,47.646614
11801551,-22.299402,-27.904026
11801572,-18.093433,-17.520687
11801702,-0.40167633,-0.52605075
11804743,-0.25387955,-4.9820046
11806975,-49.399307,23.231686
11806985,-41.981457,18.011251
11807010,-39.888832,4.635003
11808936,-1.7098218,-9.917904
11809705,-16.104094,-29.810734
11812088,29.429068,-16.777988
11812558,1.0539082,-24.968433
11814145,-17.109356,16.046068
11815394,13.0651455,-32.88769
11815954,-21.495155,15.565872
11815964,0.6562543,43.646957
11815965,-3.4470809,-35.14374
11815977,16.956785,5.360442
11815998,22.976772,3.43511
11818484,-7.4117126,1.2304412
11820781,-40.965023,-21.73369
