pmid,HGNC
9306419,BCR
9306419,ABL1
10037348,DNMT1
10079468,BCR
10079468,ABL1
10873802,AKT1
11050493,DNMT1
11719506,GLI1
11719516,CTLA4
11719516,SMARCA2
11719516,RB1
11724793,ACTG1
11730853,CTLA4
11730853,DNMT1
11730853,APC
11731795,KMT2A
11748979,DNMT1
11750879,MET
11750879,SOS1
11750879,HGF
11751905,VEGFA
11751905,CTLA4
11751905,FLT1
11755462,CTLA4
11755462,RTEL1
11755464,CTLA4
11755464,DNMT1
11756154,CTLA4
11756154,SDHB
11756188,CTLA4
11756194,ACTG1
11770900,MYC
11773160,EGFR
11773161,CALR
11773164,VEGFA
11773164,DNMT1
11773169,CTLA4
11781252,BCR
11781252,ABL1
11781252,FH
11782367,BRCA1/2
11782367,SDHD
11782380,CTLA4
11782380,HLA-C
11782395,ARID1A
11785838,DDIT3
11785838,CTLA4
11785838,RTEL1
11786079,FAT1
11786394,VEGFA
11786581,BRCA1/2
11786589,MET
11786778,APC
11790564,ERBB2
11790564,BCR
11790564,ABL1
11790564,KIT
11792416,SRC
11792416,FH
11792416,CTLA4
11792833,BRCA1/2
11793437,REL
11793437,MYC
11801310,RB1
11801551,DNMT1
11801702,DNMT1
11801702,NTRK1
11807010,FH
11807010,XIAP
11807010,CTLA4
11807010,RTEL1
11807889,BRCA1/2
11815285,EGFR
11815953,CTLA4
11815965,AR
11820781,CALR
11821445,BCR
11821445,NKX2-1
11821450,SDHB
11823119,AR
11823969,ATM
11823969,CTLA4
11823969,FH
11826187,MITF
11830525,YY1
11830525,RB1
11834954,CTLA4
11834954,ACTG1
11836585,RB1
11838648,ERBB2
11838648,KIT
11838648,INSR
11839675,ERBB2
11839684,ERBB2
11839685,MET
11839685,SOS1
11841558,CTLA4
11842392,CTLA4
11842394,CTLA4
11844822,BRCA1/2
11850835,RB1
11850835,AKT1
11852999,DNMT1
11854177,MSH2
11854177,PTEN
11855882,DNMT1
11856154,FANCC
11857085,CBL
11857085,ABL1
11857085,BCR
11857085,AKT1
11857386,CTLA4
11861369,NTRK1
11863228,CTLA4
11867721,RUNX1T1
11870168,BRCA1/2
11870180,APC
11870183,MET
11872277,CALR
11875759,PTEN
11875759,AKT1
11877262,BCR
11877262,ABL1
11877266,CTLA4
11877293,CASP8
11877311,VEGFA
11877311,BCR
11877765,RIT1
11877765,CTLA4
11877765,RTEL1
11879565,ESR1
11881785,REST
11881914,PGR
11881914,ERBB2
11881914,ESR1
11894015,ERBB2
11895757,CTLA4
11895923,EGFR
11895923,AKT1
11896112,PGR
11896622,IGF1
11896624,VHL
11896624,BRCA1/2
11896624,APC
11900241,PGR
11900993,REST
11901151,ERBB2
11904022,NR4A3
11909725,FANCA
11909725,ACTG1
11912139,ERBB2
11912165,VEGFA
11914627,BCR
11914627,DNMT1
11914627,ABL1
11914627,KIT
11914627,CTLA4
11916502,NR4A3
11919237,REST
11920509,BCR
11920510,RTEL1
11920518,EGFR
11920650,MSH2
11923132,DNMT1
11924912,PGR
11924912,CTLA4
11927966,CTLA4
11927966,KIT
11929341,CYP19A1
11929790,RARA
11929828,MYC
11932470,REST
11932905,BCR
11932906,MET
11937431,IGF1
11942410,MYC
11943706,CTLA4
11945064,CTLA4
11948111,NR4A3
11948141,CTLA4
11948419,PTEN
11948493,PTEN
11955607,MYC
11955738,CALR
11955742,MET
11956271,AR
11956426,CTLA4
11957149,BLM
11960379,EGFR
11960379,ERBB2
11960379,MYC
11960379,AKT1
11960384,RB1
11964299,CTLA4
11964299,APC
11965231,CTLA4
11966385,MET
11967901,RTEL1
11968000,ESR1
11968000,EGFR
11968084,MET
11970766,CTLA4
11970966,CTLA4
11975969,BRCA1/2
11976731,BCR
11976731,ABL1
11976831,ERBB2
11976831,CTLA4
11976831,MAX
11979552,BCR
11979552,ETV6
11980999,MYCN
11981001,KMT2A
11981003,EGFR
11981218,ESR1
11981218,NR4A3
11983866,CTLA4
11984100,ARID1A
11986195,CTLA4
11986204,BCR
11986204,ABL1
11986206,BCR
11986206,NR4A3
11986206,ABL1
11986232,CTLA4
11986232,AR
11986238,BCR
11986238,ABL1
11986238,CTLA4
11986403,PTEN
11988246,BRCA1/2
11988838,AKT1
11990305,ESR1
11992800,VEGFA
11992800,CTLA4
11992800,DNMT1
11993784,BCR
11993784,ABL1
11994980,RARA
11994980,CTLA4
11997559,FAT1
11998794,CTLA4
12000816,SDHD
12000816,VHL
12000816,RET
12000816,SDHB
12000869,NR4A3
12000869,CTLA4
12000869,FLT1
12000870,CTLA4
12000870,FLT1
12004173,ESR1
12006508,CTLA4
12006510,AR
12006510,AKT1
12006516,MAX
12006521,FANCC
12006523,EPCAM
12006525,PTEN
12006525,AKT1
12006546,EGFR
12007222,BRCA1/2
12007754,ESR1
12007754,INSR
12007958,MYC
12008081,CTLA4
