pmid,cancer_type
2357786,Multiple Myeloma
7512659,Rectal Cancer
7512659,Prostate Cancer
7523707,Prostate Cancer
7523707,Rectal Cancer
7525995,Prostate Cancer
7525995,Rectal Cancer
7692657,Rectal Cancer
7692657,Prostate Cancer
8678767,Colorectal Cancer
8678767,Liver Cancer
9306419,Gastrointestinal Tumor
9306419,Leukemia
9306419,Chronic Myelogenous Leukemia (CML)
10079468,Leukemia
10079468,Chronic Myelogenous Leukemia (CML)
10581602,Prostate Cancer
10581602,Bone Cancer
11719088,Pancreatic Cancer
11719506,Sarcoma
11719516,Retinoblastoma
11719516,Lung Cancer
11724793,Lymphoma
11730853,Melanoma
11731795,Leukemia
11731795,Acute Lymphoblastic Leukemia (ALL)
11743638,Colorectal Cancer
11743638,Liver Cancer
11748973,Ovarian Cancer
11748979,Ovarian Cancer
11748979,Cervical Cancer
11748979,Endometrial Cancer
11748986,Cervical Cancer
11750879,Kidney Cancer
11750879,Liver Cancer
11750879,Lung Cancer
11751539,Bone Cancer
11751539,Leukemia
11751539,Acute Lymphoblastic Leukemia (ALL)
11751905,Bone Cancer
11751905,Multiple Myeloma
11755462,Lymphoma
11755464,Bone Cancer
11755464,Leukemia
11755464,Lung Cancer
11756154,Liver Cancer
11756154,Lymphoma
11756183,Lymphoma
11756188,Leukemia
11756188,Acute Myeloid Leukemia (AML)
11756194,Colorectal Cancer
11756194,Leukemia
11772429,Brain Tumor
11773149,Breast Cancer
11773160,Skin Cancer
11773161,Melanoma
11773161,Liver Cancer
11773163,Melanoma
11773163,Kidney Cancer
11773164,Sarcoma
11773169,Bone Cancer
11773169,Osteosarcoma
11773175,Bone Cancer
11773175,Leukemia
11773175,Acute Lymphoblastic Leukemia (ALL)
11773181,Kidney Cancer
11773183,Kidney Cancer
11774239,Colorectal Cancer
11774255,Sarcoma
11777618,Cervical Cancer
11777635,Gallbladder Cancer
11777994,Melanoma
11778605,Leukemia
11781252,Leukemia
11781252,Chronic Myelogenous Leukemia (CML)
11781282,Lymphoma
11782078,Lymphoma
11782367,Breast Cancer
11782370,Sarcoma
11782380,Melanoma
11782395,Rhabdoid Tumor
11782395,Brain Tumor
11782395,Bone Cancer
11782772,Esophageal Cancer
11785838,Bone Cancer
11785838,Lymphoma
11785838,Burkitt Lymphoma
11786079,Bone Cancer
