pmid,doctor
10079468,['Hagop M. Kantarjian']
10581602,['Kenneth J. Pienta']
11719088,['James L. Abbruzzese']
11719506,['David Walterhouse']
11719516,['Karen E. Knudsen']
11724793,['Charles Roberts']
11730853,['Patrick Hwu']
11731795,"['Stephen E. Sallan', 'Lewis B. Silverman']"
11743638,['Jae Hong Park']
11748973,['Michael Carney']
11748979,['Stephen C. Rubin']
11748986,"['Robert L. Coleman', 'Linda R. Duska', 'John O. Schorge']"
11750879,['Ravi Salgia']
11751539,['Ching-Hon Pui']
11751905,['Ravi Salgia']
11755462,['Parkash S. Gill']
11755464,['Apostolia Maria Tsimberidou']
11756154,"['Stephen M. Ansell', 'Thomas E. Witzig']"
11756183,['Arnold Freedman']
11756188,['Marina Konopleva']
11756194,['Michelle M. Le Beau']
11773149,"['Gabriel N. Hortobagyi', 'Kelly Hunt']"
11773160,['Patricia LoRusso']
11773161,['Evan Hersh']
11773163,"['Patrick Hwu', 'Mario Sznol']"
11773164,['David T. Scadden']
11773169,"['Angela Dispenzieri', 'Carola A. S. Arndt']"
11773175,"['Stephen E. Sallan', 'Lewis B. Silverman']"
11773181,"['Robert J. Motzer', 'Paul Russo']"
11773183,"['Jacqueline Vuky', 'Robert J. Motzer', 'Paul Russo']"
11774239,['Frank A. Sinicrope']
11774255,['Ralph R. Weichselbaum']
11777618,['Joan L. Walker']
11777635,"['Steven E. Schild', 'Michael G. Haddock']"
11777994,['Hung T. Khong']
11778605,['Kenneth V. I. Rolston']
11781252,['James D. Griffin']
11781282,['Thomas E. Witzig']
11782078,['Yu Chen']
11782367,['Eddy J. Chen']
11782370,['Marc Ladanyi']
11782380,['Hassane M. Zarour']
11782395,['Charles Roberts']
11782772,"['Jaffer A. Ajani', 'Jack A. Roth', 'Stephen Swisher']"
11785838,['David J. Straus']
11786079,"['Morie A. Gertz', 'Martha Lacy', 'Angela Dispenzieri']"
11786394,['Parkash S. Gill']
11786562,"['Jeffrey Myers', 'Bonnie S. Glisson']"
11786567,['Sergio Giralt']
11786581,['Claudine Isaacs']
11786582,"['Matthew T. Ballo', 'Shreyaskumar Patel', 'Kelly Hunt', 'Barry W. Feig']"
11786589,"['Mark J. Ratain', 'Hedy L. Kindler']"
11786778,['Jose G. Guillem']
11790454,['Christopher Logothetis']
11790564,['Charles L. Sawyers']
11790976,"['Richard M. Stone', 'Mikkael A. Sekeres']"
11792833,"['Saundra S. Buys', 'Fergus Couch']"
11792912,['Peter T. Scardino']
11793437,['Kenneth Offit']
11796304,['Tomasz M. Beer']
11799530,['Sergio Giralt']
11800340,['Kelly Hunt']
11801310,"['Rafael Fonseca', 'Morie A. Gertz', 'Thomas E. Witzig', 'Martha Lacy', 'S. Vincent Rajkumar', 'Angela Dispenzieri']"
11801543,"['George Wilding', 'Jordan Berlin']"
11801551,['Jose G. Guillem']
11801572,['Jeffrey Myers']
11801702,"['Steven M. Larson', 'Howard I. Scher']"
11804743,['Thomas E. Merchant']
11806975,['Martin S. Tallman']
11806985,['Hagop M. Kantarjian']
11807010,['John C. Byrd']
11808936,['Frank A. Sinicrope']
11809705,['Daniel D. Karp']
11812088,"['Linda R. Duska', 'John O. Schorge']"
11812558,['Philip Paty']
11814145,['Pierre Giglio']
11815394,['Sara I. Pai']
11815954,['George P. Canellos']
11815964,"['Jeffrey A. Morgan', 'Steven R. Grossman', 'Charles S. Fuchs', 'David P. Ryan']"
11815965,['Christopher Sweeney']
11815977,"['Matthew T. Ballo', 'Shreyaskumar Patel', 'Kelly Hunt', 'Barry W. Feig']"
11815998,['Steven N. Hochwald']
11818484,['Stanton L. Gerson']
