pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
11731795,0.0,0.0,0.0,0.8649879693984985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
11751539,0.0,0.0,0.0,0.14043037593364716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7309542298316956,0.0,0.0,0.0,0.0,topic15
11773175,0.0,0.0,0.0,0.0,0.0,0.5839470624923706,0.24572114646434784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
11861270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2410580813884735,0.0,0.0,0.0,0.0,0.0,0.6049594879150391,0.0,topic18
11867505,0.0,0.0,0.0,0.0,0.0,0.0,0.8389535546302795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
11867721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8399659991264343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
11873541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1417330652475357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7345409989356995,topic19
11896112,0.0,0.0,0.0,0.21587015688419342,0.0,0.0,0.0,0.0,0.0,0.0,0.6588141322135925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic10
11896119,0.0,0.0,0.0,0.0,0.0,0.0,0.7704529166221619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10163173079490662,0.0,0.0,0.0,topic6
11899114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7403873801231384,0.0,0.0,0.0,0.12381279468536377,0.0,0.0,0.0,0.0,topic11
12008081,0.0,0.0,0.0,0.0,0.0,0.0,0.4470939636230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42957690358161926,0.0,0.0,0.0,topic6
12014810,0.0,0.0,0.0,0.3161729574203491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303168386220932,0.0,0.0,0.0,0.21819819509983063,0.0,0.0,0.0,topic3
12026238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6806038022041321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20848433673381805,0.0,0.0,0.0,0.0,topic7
12036851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8587944507598877,0.0,0.0,0.0,0.0,topic15
12042710,0.0,0.0,0.0,0.15566185116767883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7286614179611206,0.0,0.0,topic17
12070006,0.0,0.0,0.0,0.34260475635528564,0.0,0.0,0.0,0.5186758637428284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
12070008,0.0,0.0,0.0,0.8829091191291809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
12070010,0.0,0.0,0.0,0.23649291694164276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353063583374023,0.0,0.0,0.0,0.0,0.0,topic14
12086872,0.0,0.0,0.0,0.3004683256149292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5765960216522217,0.0,0.0,0.0,0.0,0.0,topic14
12089225,0.0,0.0,0.0,0.0,0.0,0.8587073087692261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
12091357,0.0,0.0,0.0,0.09464596211910248,0.0,0.0,0.0,0.7545674443244934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
12114448,0.0,0.0,0.0,0.0,0.0,0.0,0.40040433406829834,0.0,0.0,0.0,0.0,0.0,0.4686197340488434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
12149204,0.0,0.0,0.0,0.0,0.0,0.0,0.22191043198108673,0.0,0.0,0.0,0.6134806275367737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic10
12196213,0.0,0.0,0.0,0.3607335388660431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340211391448975,0.0,0.0,topic17
12196214,0.0,0.0,0.0,0.21302804350852966,0.0,0.0,0.0,0.0,0.0,0.0,0.6858935952186584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic10
12200352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8632714152336121,0.0,0.0,0.0,topic16
12200353,0.0,0.0,0.0,0.43050169944763184,0.0,0.13838505744934082,0.33161184191703796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
12209751,0.0,0.0,0.0,0.2508643567562103,0.0,0.0,0.20496802031993866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4551902711391449,0.0,0.0,0.0,0.0,topic15
12234279,0.0,0.0,0.0,0.0,0.0,0.0,0.8675567507743835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
12239148,0.0,0.0,0.0,0.0,0.0,0.0,0.2866048812866211,0.0,0.5690474510192871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
12243551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835841178894043,topic19
12350366,0.5503008365631104,0.0,0.0,0.1106427013874054,0.12919127941131592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10958967357873917,0.0,0.0,0.0,0.0,topic0
12361242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8481602072715759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic10
12365028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195653438568115,0.0,0.34888985753059387,0.0,0.0,0.0,0.0,topic13
