pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
12015757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883608341217041,0.0,0.0,0.0,0.0,topic15
12364417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8674823045730591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
12548596,0.7901531457901001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09796380251646042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic0
15692945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8730883598327637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
16733646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8738089203834534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
19204208,0.0,0.0,0.0,0.0,0.0,0.09673133492469788,0.0,0.0,0.0,0.0,0.0,0.0,0.7679154276847839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
19635227,0.0,0.0,0.0,0.0,0.0,0.0,0.8455878496170044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
19903778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8808228373527527,0.0,0.0,0.0,topic16
20694732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8591404557228088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
21192060,0.0,0.0,0.0,0.0,0.0,0.8741856813430786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
21750201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059993159025907516,0.0,0.0,0.8405134677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
22124842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695590496063232,0.0,0.0,0.0,0.0,topic15
22136818,0.0,0.0,0.0,0.0,0.0,0.8520671129226685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
22516243,0.0,0.0,0.80094975233078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06549189984798431,0.0,0.0,0.0,0.0,topic2
22526034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07888713479042053,0.0,0.0,0.0,0.0,0.0,0.0,0.8098693490028381,topic19
22526905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019786238670349,0.19921471178531647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
22964741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18754945695400238,0.0,0.0,0.0,0.6696100831031799,topic19
23150683,0.0,0.0,0.0,0.0,0.0,0.1614159643650055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6725260019302368,0.05733662098646164,0.0,0.0,0.0,0.0,topic14
23158185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516462504863739,0.11249393224716187,0.0,0.0,0.23349900543689728,0.0,0.0,0.0,0.0,topic11
23391119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8314722776412964,0.0,0.0,0.0,0.0,topic15
23765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8607681393623352,0.0,0.0,0.0,0.0,topic15
23801749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8824163675308228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
24086089,0.0,0.0,0.0,0.0,0.0,0.8803883194923401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
24637859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470573425292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
24958272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8494717478752136,0.0,topic18
