pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
12576918,0.1402481347322464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.755634069442749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
12602726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8636382818222046,0.0,0.0,0.0,0.0,0.0,topic14
12641346,0.0,0.7765427827835083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11064039170742035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
12794246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23736044764518738,0.0,0.0,0.0,0.6547431349754333,0.0,0.0,0.0,topic16
12850675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8014552593231201,0.07787945121526718,0.0,0.0,topic16
15017593,0.0,0.0,0.0,0.8019577860832214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684683620929718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
15130267,0.0,0.0,0.0,0.0928058996796608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6625593304634094,0.14744418859481812,0.0,0.0,topic16
15143931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8456764221191406,0.0,topic18
15192791,0.0,0.0,0.0,0.0,0.0,0.8275436162948608,0.0,0.0,0.0,0.0,0.0,0.0,0.05791471526026726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
15330900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8169882893562317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
16133801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8744467496871948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
16310689,0.0,0.0,0.0,0.0,0.7910653948783875,0.0,0.0,0.0,0.08882983028888702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic4
16344057,0.8224973678588867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic0
16505435,0.0,0.0,0.7880575656890869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09042683988809586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic2
16879775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836216390132904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
16880238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802071750164032,0.0,0.0,0.0,0.0,0.06125372275710106,0.0,0.0,topic12
17084718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006395697593689,0.0,0.0,0.0,0.0,0.0,0.048976700752973557,0.0,0.0,topic11
17164111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8503415584564209,0.0,0.0,0.0,0.0,topic15
17276614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698980987071991,0.0,0.0,0.0,0.0,0.0,0.0,0.17799127101898193,0.0,0.0,topic10
17390167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1314614862203598,0.0,0.6430043578147888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056392066180706024,0.0,0.0,topic9
17457168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10491626709699631,0.0,0.7838435769081116,topic19
17512280,0.0,0.09393440186977386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7908419370651245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
17597402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8778774738311768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
17846848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8657799363136292,0.0,0.0,topic17
17941009,0.0,0.0,0.0,0.8643164038658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
18256882,0.0,0.0,0.0,0.1272049993276596,0.0,0.0,0.0,0.0,0.0,0.0,0.7421737909317017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic10
18448556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877224862575531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
18477350,0.0,0.8550629615783691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
18506547,0.0,0.0,0.0,0.1771407127380371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7043886184692383,0.0,0.0,0.0,0.0,0.0,topic14
18543039,0.0,0.0,0.0,0.0,0.8185831904411316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic4
18650638,0.0,0.0,0.7652127742767334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12487087398767471,0.0,0.0,topic2
18754070,0.0,0.0,0.0,0.0,0.814751386642456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060137759894132614,0.0,0.0,topic4
18985272,0.8675402998924255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic0
19156542,0.0,0.0,0.0,0.0,0.6985082626342773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09266288578510284,0.0970819890499115,0.0,topic4
19399502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6504756212234497,0.0,0.0,0.22666259109973907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
19495882,0.0,0.0,0.0,0.0,0.0,0.0,0.6830553412437439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036648541688919,0.0,0.0,topic6
19513795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22788113355636597,0.0,0.6835294365882874,topic19
19628081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8227724432945251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
19669700,0.0,0.0,0.0,0.0,0.0,0.5101765394210815,0.0,0.0,0.0,0.0,0.0,0.0,0.3750644028186798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
19843679,0.8466523289680481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic0
20108035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8768740892410278,0.0,0.0,topic17
20224368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8096457719802856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06512314081192017,0.0,0.0,topic7
20495535,0.0,0.0,0.0,0.20366181433200836,0.0,0.0,0.0,0.0,0.0,0.6305609345436096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
20637950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8568698763847351,0.0,0.0,topic17
20740584,0.0,0.0,0.0,0.8636703491210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
21075015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8394766449928284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337805673480034,0.0,0.0,topic9
21480336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8804914951324463,0.0,topic18
21617582,0.0,0.0,0.5747852325439453,0.0,0.0,0.0,0.0,0.10577519983053207,0.03315984457731247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19382116198539734,0.0,0.0,topic2
21665464,0.0,0.0,0.0,0.06775233894586563,0.0,0.0,0.0,0.8383961915969849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
21690446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8538933992385864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
22081921,0.0,0.0,0.0,0.0,0.0,0.0,0.780715823173523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07906834036111832,0.0,0.0,topic6
22180306,0.0,0.0,0.0,0.10045617073774338,0.0,0.0,0.6694538593292236,0.0,0.0,0.0,0.0,0.0,0.10072578489780426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
22265247,0.0,0.0,0.0,0.8326407074928284,0.0,0.0,0.0,0.03798314929008484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
22391776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8578466773033142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
