pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
11773149,0.0,0.0,0.0,0.0,0.8693984746932983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic4
11782367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3523763120174408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227816700935364,0.0,topic18
11786581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8578048944473267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic10
11790564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856006383895874,0.0,topic18
11792833,0.0,0.0,0.0,0.0,0.0,0.2220119833946228,0.0,0.0,0.0,0.6453961133956909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
11800340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8467585444450378,0.0,0.0,0.0,0.0,0.0,topic14
11804743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8732406497001648,0.0,0.0,topic17
11815954,0.0,0.0,0.0,0.0,0.0,0.0,0.842607855796814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
11821452,0.0,0.0,0.0,0.0,0.0,0.0,0.21582642197608948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.670172393321991,0.0,0.0,0.0,0.0,0.0,topic14
11821453,0.0,0.8837337493896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
11821455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802552223205566,0.0,0.0,0.0,0.0,0.0,0.0,topic13
