pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
11914621,0.0,0.0,0.0,0.0,0.0,0.0,0.1904825121164322,0.0,0.0,0.0,0.0,0.0,0.0,0.1529911309480667,0.0,0.0,0.32453373074531555,0.0,0.22623927891254425,0.0,topic16
12641346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8830612301826477,0.0,0.0,0.0,0.0,topic15
12926079,0.0,0.0,0.0,0.0,0.0,0.8674274682998657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
12946222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8796006441116333,0.0,0.0,topic17
12967136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15143199265003204,0.0,0.0,0.0,0.7285788655281067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
13129555,0.010505065321922302,0.010505065321922302,0.010505065321922302,0.010505065321922302,0.010505065321922302,0.010505065321922302,0.010505065321922302,0.010505065321922302,0.010505069978535175,0.010505065321922302,0.010505065321922302,0.010505066253244877,0.010505066253244877,0.010505066253244877,0.8004037141799927,0.010505065321922302,0.010505065321922302,0.010505065321922302,0.010505066253244877,0.010505065321922302,topic14
14651212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850007653236389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
14690153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062867283821106,0.0,0.0,0.0,0.0,0.0,0.16575291752815247,0.0,0.0,0.0,0.03667571395635605,0.0,0.0,topic7
15084386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450918793678284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
15170140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8618201017379761,0.0,0.0,0.0,0.0,0.0,0.0,topic13
15189954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8536443710327148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
15334634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8206236958503723,0.0,topic18
15447997,0.0,0.0,0.0,0.0,0.0,0.0,0.7296080589294434,0.0,0.0,0.0,0.0,0.0,0.0,0.1658700406551361,0.0,0.0,0.0,0.0,0.0,0.0,topic6
15493355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8912774324417114,0.0,0.0,0.0,0.0,0.0,0.0,topic13
15641035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12673716247081757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7737095952033997,0.0,topic18
15714450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648368775844574,0.0,0.06215643137693405,0.0,0.0,0.0,0.19520433247089386,0.0,0.0,topic11
15920555,0.0,0.0,0.0,0.8310943841934204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
16051944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7527012228965759,0.0,0.0,0.0,0.0,0.12849180400371552,0.0,0.0,0.0,0.0,0.0,0.0,topic8
