pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
11807010,0.0,0.0,0.0,0.8893129825592041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
11821445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8650453686714172,0.0,0.0,0.0,0.0,topic15
11842392,0.0,0.0,0.0,0.17355093359947205,0.0,0.0,0.0,0.0,0.24924948811531067,0.0,0.0,0.0,0.0,0.4756864309310913,0.0,0.0,0.0,0.0,0.0,0.0,topic13
11856795,0.0,0.0,0.0,0.2142394781112671,0.0,0.0,0.0,0.0,0.0,0.6579992771148682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
11924912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449442982673645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
11932906,0.0,0.0,0.0,0.7666307091712952,0.0,0.0,0.11090686917304993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
12111110,0.0,0.0,0.0,0.28000351786613464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13553033769130707,0.0,0.0,0.0,0.0,0.0,0.0,0.45802804827690125,topic19
12114413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19120867550373077,0.0,0.0,0.0,0.0,0.0,0.0,0.6766920685768127,0.0,0.0,0.0,0.0,topic15
12149200,0.0,0.0,0.0,0.3567289412021637,0.0,0.0,0.0,0.0,0.0,0.4856930375099182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
12200376,0.0,0.0,0.0,0.2398451715707779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24623826146125793,0.0,0.0,0.40591996908187866,0.0,topic18
12203106,0.0,0.0,0.0,0.19930139183998108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6755802631378174,0.0,0.0,topic17
12214291,0.0,0.2688983082771301,0.0,0.0,0.0,0.0,0.0,0.0,0.17157123982906342,0.0,0.0,0.0,0.0,0.0,0.0,0.467313677072525,0.0,0.0,0.0,0.0,topic15
12226014,0.0,0.0,0.0,0.4370485544204712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479794502258301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
