pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
10079468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8980042934417725,0.0,topic18
11781252,0.0,0.12300951033830643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5532894730567932,0.19722849130630493,0.0,topic17
11821445,0.0,0.0,0.0,0.08915349096059799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4961072504520416,0.30334001779556274,0.0,topic17
11861270,0.0,0.06971123814582825,0.0,0.3579924404621124,0.0,0.41071224212646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
11877262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25297895073890686,0.0,0.0,0.0,0.18302097916603088,0.0,0.0,0.0,0.0,0.0,0.0,0.46534931659698486,0.0,topic18
11914627,0.0,0.7891377210617065,0.0,0.08793102204799652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
11932905,0.0,0.0,0.0,0.17809255421161652,0.0,0.0,0.0,0.25006648898124695,0.0,0.0,0.0,0.15581662952899933,0.0,0.0,0.0,0.0,0.0,0.0,0.31649234890937805,0.0,topic18
11976731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8739266395568848,topic19
11979552,0.0,0.0,0.0,0.16321831941604614,0.0,0.0,0.0,0.6988630294799805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
11983866,0.0,0.0,0.0,0.0,0.03542831912636757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7969425916671753,0.06381169706583023,topic18
11986204,0.0,0.17906849086284637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4577881097793579,0.0,0.0,0.0,0.0,0.0,0.0,0.2740280032157898,0.0,topic11
11986206,0.230737566947937,0.12823274731636047,0.0,0.23241111636161804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32373344898223877,0.0,topic18
11986238,0.0,0.11163914948701859,0.0,0.0,0.14616116881370544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6246069073677063,0.0,0.0,0.0,topic16
11993784,0.0,0.0,0.14156627655029297,0.0,0.0,0.0,0.0,0.0,0.0,0.3954564034938812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36564740538597107,0.0,topic9
12036931,0.23718184232711792,0.0,0.0,0.0,0.0,0.6397773623466492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
12044239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8875958919525146,topic19
12091333,0.0,0.5812084674835205,0.0,0.06628221273422241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2488844245672226,0.0,topic1
12114413,0.0,0.0,0.0,0.1764855682849884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38980937004089355,0.0,0.0,0.0,0.0,0.0,0.3144460916519165,0.0,topic12
12114417,0.0,0.0,0.0,0.45181864500045776,0.0,0.0,0.0,0.0,0.24854539334774017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028747946023941,0.0,topic3
12124177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8733354210853577,0.0,topic18
12149203,0.0,0.05774565041065216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7484390139579773,0.0,0.09479285031557083,0.0,topic16
12161355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8651081919670105,0.0,topic18
12173333,0.7230432629585266,0.15725499391555786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic0
12176876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8787254691123962,0.0,topic18
